ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
Q20814480,,,Canada,,Stephen Dunn,,,video on demand,Canada,,,,English,Closet Monster,2015-09-13,http://www.wikidata.org/entity/Q20814480,,,,Feature film,
Q5135727,,,Canada,,Thom Fitzgerald,,,video on demand,Canada,,,,English,Cloudburst,2011-01-01,http://www.wikidata.org/entity/Q5135727,,,,Feature film,
Q48487416,,,Canada,,Craig Goodwill,,,video on demand,Canada,,,,English,Compulsion,2016-01-01,http://www.wikidata.org/entity/Q48487416,,,,Feature film,
Q2998329,,,Canada,,Manon Briand,,,video on demand,Canada,,,,French,Cosmos,1996-01-01,http://www.wikidata.org/entity/Q2998329,,,,Feature film,
Q839133,,,Canada,,David Cronenberg,,,theatrical release,Canada,,,,English,Crash,1996-01-01,http://www.wikidata.org/entity/Q839133,,,,Feature film,
Q5188648,,,Canada,,,,,,Canada,,,,English,Crossing,2007-01-01,http://www.wikidata.org/entity/Q5188648,,,,Feature film,
Q3015316,,,Canada,,Denis Langlois,,,,Canada,,,,French,Danny in the sky,2001-01-01,http://www.wikidata.org/entity/Q3015316,,,,Feature film,
Q5247799,,,Canada,,Mark Kenneth Woods,,,,Canada,,,,English,Deb and Sisi,2008-01-01,http://www.wikidata.org/entity/Q5247799,,,,Feature film,
Q62595536,,,Canada,,Clint Alberta,,,,Canada,,,,English,Deep Inside Clint Star,1999-01-01,http://www.wikidata.org/entity/Q62595536,,,,Feature film,
Q64864009,,,Canada,,Benjamin Ratner,,,video on demand,Canada,,,,English,Down River,2013-09-22,http://www.wikidata.org/entity/Q64864009,,,,Feature film,
Q63565870,,,Canada,,,,,,Canada,,,,English,Drag Kids,2019-01-01,http://www.wikidata.org/entity/Q63565870,,,,Feature film,
Q5349045,,,Canada,,Richard Bell,,,,Canada,,,,English,Eighteen,2005-01-01,http://www.wikidata.org/entity/Q5349045,,,,Feature film,
Q671588,,,Canada,,Lea Pool,,,,Canada,,,,French,Emporte-moi,1999-01-01,http://www.wikidata.org/entity/Q671588,,,,Feature film,
Q60738356,,,Canada,,Albert Nerenberg,,,,Canada,,,,English,Escape to Canada,2005-01-01,http://www.wikidata.org/entity/Q60738356,,,,Feature film,
Q3061526,,,Canada,,,,,,Canada,,,,English,Everyone,2004-01-01,http://www.wikidata.org/entity/Q3061526,,,,Feature film,
Q1384202,,,Canada,,Atom Egoyan,,,video on demand,Canada,,,,English,Exotica,1994-01-01,http://www.wikidata.org/entity/Q1384202,,,,Feature film,
Q65084732,,,Canada,,Viggo Mortensen,,,video on demand,Canada,,,,English,Falling,2020-01-31,http://www.wikidata.org/entity/Q65084732,,,,Feature film,
Q12119567,,,Canada,,Ryan Nicholson,,,,Canada,,,,English,Famine,2011-01-01,http://www.wikidata.org/entity/Q12119567,,,,Feature film,
Q1217870,,,Canada,,Robert Lepage,,,video on demand,Canada,,,,French,Far Side of the Moon,2003-01-01,http://www.wikidata.org/entity/Q1217870,,,,Feature film,
Q15040673,,,Canada,,Astron-6,,,,Canada,,,,English,Father's Day,2011-10-21,http://www.wikidata.org/entity/Q15040673,,,,Feature film,
Q48674502,,,Canada,,Carl Bessai,,,,Canada,,,,English,Fathers & Sons,2010-09-25,http://www.wikidata.org/entity/Q48674502,,,,Feature film,
Q5447679,,,Canada,,John Greyson,,,,Canada,,,,English,Fig Trees,2009-01-01,http://www.wikidata.org/entity/Q5447679,,,,Feature film,
Q4279365,,,Canada,,Dominique Cardona,,,,Canada,,,,English,Finn's Girl,2007-01-01,http://www.wikidata.org/entity/Q4279365,,,,Feature film,
Q1418833,,,Canada,,Deepa Mehta,,,video on demand,Canada,,,,Hindi,Fire,1996-01-01,http://www.wikidata.org/entity/Q1418833,,,,Feature film,
Q20814524,,,Canada,,Adam Garnet Jones,,,,Canada,,,,English,Fire Song,2015-01-01,http://www.wikidata.org/entity/Q20814524,,,,Feature film,
Q5467361,,,Canada,,Lynne Fernie,,,,Canada,,,,English,Forbidden Love: The Unashamed Stories of Lesbian Lives,1992-01-01,http://www.wikidata.org/entity/Q5467361,,,,Feature film,
Q35738,,,Canada,,Julie Taymor,,,video on demand,Canada,,,,English,Frida,2002-08-29,http://www.wikidata.org/entity/Q35738,,,,Feature film,
Q948456,,,Canada,,Rodrigue Jean,,,,Canada,,,,French,Full Blast,1999-01-01,http://www.wikidata.org/entity/Q948456,,,,Feature film,
Q3090959,,,Canada,,Daniel Roby,,,video on demand,Canada,,,,English,Funkytown,2011-01-01,http://www.wikidata.org/entity/Q3090959,,,,Feature film,
Q59733907,,,Canada,,Philippe Lesage,,,video on demand,Canada,,,,French,Genesis,2018-05-08,http://www.wikidata.org/entity/Q59733907,,,,Feature film,
Q5552455,,,Canada,,Bruce LaBruce,,,video on demand,Canada,,,,French,Gerontophilia,2013-01-01,http://www.wikidata.org/entity/Q5552455,,,,Feature film,
Q43303144,,,Canada,,Keith Behrman,,,video on demand,Canada,,,,English,Giant Little Ones,2018-09-09,http://www.wikidata.org/entity/Q43303144,,,,Feature film,
Q5564403,,,Canada,,Ileana Pietrobruno,,,,Canada,,,,,Girl King,2002-01-01,http://www.wikidata.org/entity/Q5564403,,,,Feature film,
Q3112986,,,Canada,,Paul Solet,,,video on demand,Canada,,,,English,Grace,2009-01-01,http://www.wikidata.org/entity/Q3112986,,,,Feature film,
Q5611714,,,Canada,,Adriana Maggs,,,,Canada,,,,English,Grown Up Movie Star,2010-01-01,http://www.wikidata.org/entity/Q5611714,,,,Feature film,
Q18085747,,,Canada,,Pat Mills,,,video on demand,Canada,,,,English,Guidance,2014-01-01,http://www.wikidata.org/entity/Q18085747,,,,Feature film,
Q2420323,,,Canada,,Ryan Nicholson,,,video on demand,Canada,,,,English,Gutterballs,2008-01-01,http://www.wikidata.org/entity/Q2420323,,,,Feature film,
